,customer_id,campaign_id,activity_type,viewers,pageviews,duration,chats,likes,date,clicks,original_price,discount_price,click_revenue,product_id
609,171,11672,live,1900,2174,176849.0,17,30,2023-09-20,285,384700,320800,25244620,4
610,171,10164,live,1902,2152,357320.629,282,1056,2023-08-10,375,189700,158820,8446120,5
611,171,12776,live,1903,2131,147779.546,54,221,2023-11-01,263,121800,103700,6347580,4
612,171,10729,live,1904,2132,307017.989,65,67,2023-08-17,259,14852830,12796400,174015380,15
613,171,10160,live,1909,2209,402550.345,161,4082,2023-08-10,656,1470500,612270,29351190,13
614,171,9158,live,1915,2146,296662.865,1,13,2023-07-20,260,44872000,42549370,523401760,15
615,171,12925,live,1926,2185,131135.947,10,176,2023-11-01,242,89300,89300,5639500,4
616,171,11042,live,1932,2313,414851.535,0,22,2023-08-30,295,50893000,48269320,530862650,16
617,171,10140,live,1933,2220,435567.128,22,195,2023-08-07,434,525000,437270,49044260,3
618,171,10933,live,1935,2180,305409.42,8,137,2023-08-23,118,525000,210600,5090400,5
619,171,9447,live,1937,2184,328040.613,25,13,2023-08-02,110,511700,498030,20507030,3
620,171,11437,live,1937,2425,413358.422,26,404,2023-09-15,706,148600,128540,19633460,4
621,171,11531,live,1937,2370,388856.407,9,55,2023-09-14,415,228100,49900,8711300,3
622,171,12678,live,1938,2152,139751.563,8,10,2023-10-26,276,43900,39510,10904760,1
623,171,11028,live,1943,2187,317663.806,4,7,2023-08-28,111,29900,27900,3096900,1
624,171,8940,live,1952,2187,302524.161,7,8,2023-07-14,82,236700,90200,2115800,4
625,171,11426,live,1957,2374,376541.418,3,42,2023-09-13,111,10573540,8963210,70984450,10
626,171,9283,live,1962,2248,321840.24,0,11,2023-07-26,281,210600,188640,12564810,4
627,171,10719,live,1965,2513,341679.603,125,19,2023-08-16,3249,320780,273720,170149430,7
628,171,9277,live,1966,2211,307332.296,6,57,2023-07-25,314,110800,99720,14986440,2
629,171,9416,live,1969,2209,337711.941,9,18,2023-08-01,214,79800,79800,8598600,2
630,171,8647,live,1972,2281,288582.562,2,16,2023-07-01,496,210600,188640,22343760,4
631,171,12775,live,1978,2181,126421.731,4,7,2023-10-31,113,339830,281430,8351460,4
632,171,10911,live,1980,2224,274185.238,18,670,2023-08-17,176,192300,175770,5332140,8
633,164,8688,live,1985,2816,385062.204,436,3675,2023-07-06,3550,3374000,2813600,387477800,28
634,171,11198,live,1986,2912,520961.697,362,5112,2023-09-05,2765,1590400,1175620,170924930,22
635,171,11263,live,1987,2324,358476.993,2,9,2023-09-04,263,153800,138420,18202230,2
636,171,12403,live,1987,2247,158953.989,15,8,2023-10-16,594,200600,180540,25846740,4
637,171,11110,live,1997,2380,371574.595,21,229,2023-08-30,151,315000,239000,8040000,4
638,171,11659,live,1998,2291,232231.113,6,99,2023-09-19,325,22776000,21637200,389671950,14
639,171,12924,live,2003,2217,156070.926,9,53,2023-11-01,177,125300,91600,2919700,5
640,171,8516,live,2009,2263,292421.957,10,376,2023-06-20,287,122600,101930,7561160,4
641,171,8093,live,2011,2329,335240.04,29,8106,2023-06-05,374,529400,476460,16892370,9
642,171,12766,live,2014,2275,151947.506,102,1704,2023-10-30,222,1198000,706590,15254190,13
643,171,9432,live,2018,2255,307492.208,8,2,2023-07-31,292,142700,128430,10840320,3
644,171,8799,live,2021,2259,334058.864,6,30,2023-07-09,178,174400,109500,3830200,5
645,171,8791,live,2023,2302,353756.802,41,108,2023-07-06,576,374000,336600,31035600,6
646,171,11424,live,2024,2493,394908.886,26,461,2023-09-13,151,8980660,7750660,163858440,8
647,171,10716,live,2025,2343,361608.572,10,804,2023-08-15,855,210600,188640,38990250,4
648,171,11680,live,2030,2295,165161.382,22,2408,2023-09-21,346,123800,105860,19339780,2
649,171,9511,live,2031,2315,333617.738,0,15,2023-08-07,356,126760,114100,9923800,4
650,171,9142,live,2032,2301,326301.169,139,371,2023-07-17,319,1030740,878010,11739420,13
651,171,11215,live,2033,2362,366580.193,18,104,2023-09-07,260,107000,89570,11767090,2
652,171,10142,live,2045,2340,330737.129,17,24,2023-08-07,236,133000,133000,16177000,2
653,171,8781,live,2046,2318,328263.481,32,271,2023-07-04,159,0,0,0,1
654,171,12235,live,2049,2257,103795.575,5,28,2023-10-17,142,723300,666350,4402010,24
655,171,8095,live,2058,2268,270595.372,4,349,2023-06-05,125,223700,201330,8474850,3
656,171,9196,live,2061,2293,353043.545,0,1148,2023-07-18,165,231100,208000,12795000,2
657,171,11261,live,2061,2451,413043.727,3,4,2023-09-03,211,29508450,24527680,164395880,18
658,171,11027,live,2066,2360,365692.845,7,114,2023-08-28,222,22033000,20490690,132430140,27
659,171,11951,live,2068,2290,129540.008,2,1399,2023-10-04,225,395000,358890,6898470,14
660,164,9405,live,2094,3356,441512.655,437,9512,2023-08-08,3180,4342000,3254140,374425935,24
661,171,12231,live,2098,2433,234449.588,78,419,2023-10-17,718,53800,53800,19314200,2
662,51,9242,live,2098,2737,685148.048,736,5563,2023-07-27,4755,1476800,1083630,203497840,25
663,51,7250,live,2102,2716,740096.81,4096,47065,2023-04-27,2864,3647000,3108950,275642900,33
664,171,11197,live,2105,2550,442041.81,51,1682,2023-09-04,405,104800,104800,14247000,3
665,164,11090,live,2105,2433,247654.941,291,12969,2023-09-22,1219,7899000,6042735,248162175,30
666,171,12233,live,2108,2391,182366.863,30,126,2023-10-17,344,39000,35100,12074400,1
667,171,11664,live,2111,2417,189357.394,3,40,2023-09-19,448,210600,188640,19974780,4
668,171,8102,live,2112,2442,374067.662,220,523,2023-06-07,473,128500,109100,7316550,7
669,171,10847,live,2112,2396,345834.044,6,114,2023-08-24,215,52900,47610,10236150,1
670,171,8775,live,2119,2395,363808.895,3,105,2023-07-03,334,3120350,2637990,33524550,15
671,171,8798,live,2123,2389,359904.732,15,19,2023-07-09,552,210600,188640,24522120,4
672,171,12847,live,2125,2391,166604.847,1,34,2023-10-29,149,0,0,0,1
673,171,9144,live,2127,2402,308937.569,9,283,2023-07-17,174,38900,35010,6091740,1
674,171,9156,live,2138,2501,419826.112,223,1489,2023-07-19,772,216200,181010,17448210,6
675,171,11039,live,2140,2493,419201.525,156,465,2023-08-30,358,791400,377890,25698370,8
676,20,11476,live,2158,3384,615089.183,2943,3808,2023-09-20,2938,19353000,16562098,618476859,98
677,171,12658,live,2159,2405,151293.104,12,250,2023-10-23,266,199700,179730,15726060,3
678,171,10835,live,2160,2609,470078.283,226,303,2023-08-23,1598,147300,119320,43158080,4
679,171,12243,live,2163,2419,150872.303,2,5,2023-10-18,349,153800,138420,24154290,2
680,141,10594,live,2172,2510,116116.798,14,8027,2023-08-13,394,229800,229800,40510600,2
681,171,10723,live,2173,2397,373087.702,245,459,2023-08-16,475,64200,47230,11282060,2
682,171,10902,live,2175,2519,360732.332,15,2718,2023-08-19,389,0,0,0,1
683,171,11264,live,2178,2550,412956.604,5,66,2023-09-05,392,210600,188640,17766720,4
684,171,10827,live,2181,2466,291759.645,0,9,2023-08-21,218,18149440,15527990,129953690,16
685,171,10152,live,2183,3015,516747.736,358,1159,2023-08-09,2539,488200,409790,126391430,11
686,171,11099,live,2185,2495,338618.422,17,151,2023-08-23,120,0,0,0,1
687,171,9433,live,2190,2466,334008.596,0,16,2023-07-31,112,31189240,27115860,84489610,30
