,0
79814,-6734.746644945582
79815,-562226.972866402
79816,150800.48604966234
79820,434106.9832271626
79821,55847.31564880248
79822,33234.30686708883
79823,33234.30686708883
79830,44847.67374561691
79845,112619.28192558678
79846,112619.28192558678
79847,112619.28192558678
79853,18130.15614311937
79905,-338447.80532653024
79906,-479950.9000055152
80178,132895.92345107213
80201,24996.952900106662
80202,24996.952900106662
80203,24996.952900106662
80211,24996.952900106662
80214,29536.140798588618
80215,29536.140798588618
80216,29536.140798588618
80217,29536.140798588618
80218,29536.140798588618
80219,29536.140798588618
80220,29536.140798588618
80221,29536.140798588618
80229,42477.12520610349
80230,36160.56580674906
80231,36160.56580674906
80232,25078.677404508206
80233,93506.31738916351
80234,93506.31738916351
80235,79705.58435826743
80236,79705.58435826743
80237,25043.555684355168
80238,25043.555684355168
80239,25043.555684355168
80240,25043.555684355168
80247,291765.27995930886
80248,351436.6047607898
80249,138180.20371297203
80250,138180.20371297203
80251,138180.20371297203
80252,138180.20371297203
80253,27892.38372912802
80254,27892.38372912802
80255,27892.38372912802
80256,27892.38372912802
80257,27892.38372912802
80258,27892.38372912802
80259,27892.38372912802
80260,32766.203696936056
80261,32766.203696936056
80262,83491.8864358314
80263,83491.8864358314
80264,83491.8864358314
80265,83491.8864358314
80266,83491.8864358314
80267,83491.8864358314
80268,83491.8864358314
80269,83491.8864358314
80270,61813.44880580678
80271,61813.44880580678
80272,83491.8864358314
80273,83491.8864358314
80274,83491.8864358314
80275,83491.8864358314
80276,83491.8864358314
80596,22303.493494905597
80888,23140.093277779488
80889,32162.172254266254
80890,25021.85912808158
80891,25021.85912808158
80892,25021.85912808158
80893,76015.30204206539
80894,72002.47798300668
80895,26873.827652196895
80896,26873.827652196895
80897,26873.827652196895
80898,26873.827652196895
80899,26873.827652196895
80900,26873.827652196895
80901,225635.03628740538
80902,342500.6587489609
80904,225635.03628740538
80905,519713.70078627946
80906,225635.03628740538
80907,270346.7616181575
80908,280859.5785526212
80909,107312.83763046254
80910,107312.83763046254
80911,218377.99146607495
80912,107312.83763046254
80913,24073.36078577349
80914,24073.36078577349
80915,24073.36078577349
80916,22303.492242879394
80919,251211.6788056027
80924,-562226.972866402
80928,54794.927256691575
81262,47798.18652623569
81295,47798.18652623569
81296,26262.647158873275
81297,26262.647158873275
81298,26262.647158873275
81299,26262.647158873275
81302,26262.647158873275
81304,47798.18652623569
81305,47798.18652623569
81306,47798.18652623569
81307,32057.702684297765
81308,47798.18652623569
81309,35501.78431312495
81310,35501.78431312495
81311,47798.18652623569
81312,47798.18652623569
81313,35501.78431312495
81316,35501.78431312495
81317,32057.702684297765
81318,35501.78431312495
81319,55353.71317726218
81320,55353.71317726218
81321,47479.571520039215
81322,47479.571520039215
81323,47479.571520039215
81324,47479.571520039215
81325,47479.571520039215
81327,47479.571520039215
81328,47479.571520039215
81329,47479.571520039215
81330,47479.571520039215
81331,47479.571520039215
81332,47479.571520039215
81333,27457.41065300195
81334,27457.41065300195
81335,27457.41065300195
81336,27457.41065300195
81337,27457.41065300195
81338,27457.41065300195
81339,27457.41065300195
81340,24068.620794773145
81341,24068.620794773145
81342,24068.620794773145
81343,24070.78135170258
81344,24070.78135170258
81353,56218.29295702124
81368,56218.29295702124
81370,502101.08809235785
81371,512189.6441425965
81372,574050.7525998689
81373,538173.5011910321
81374,549232.6041382151
81375,483172.42248038715
81376,471302.7521612388
81377,538173.5011910321
81378,69765.84798344411
81379,538173.5011910321
81380,483172.42248038715
81381,484783.6912227655
81382,538173.5011910321
81383,527053.3505521342
81384,446159.48225481156
81385,538173.5011910321
81386,538173.5011910321
81387,471302.7521612388
81388,512189.6441425965
81999,22303.493037985798
82000,31620.6596448856
82001,31620.6596448856
82002,31620.6596448856
82003,31620.6596448856
82004,44738.46553609293
82005,31620.6596448856
82006,31614.119754354004
82007,31614.119754354004
82011,44738.46553609293
82012,31620.6596448856
82014,31620.6596448856
82015,44738.46553609293
82016,31614.119754354004
82026,31620.6596448856
82029,31614.119754354004
82031,30879.327083163553
82032,30879.327083163553
82033,30879.327083163553
82034,30879.327083163553
82035,30879.327083163553
82036,30879.327083163553
82037,30879.327083163553
82038,25050.288743761557
82039,25050.288743761557
82040,25050.288743761557
82041,25050.288743761557
82042,26105.056921189018
82043,52332.455116875906
82044,52332.455116875906
82045,52332.455116875906
82046,26105.056921189018
82121,56218.29295702124
82173,25021.85912808158
82219,48756.13543423609
82220,41001.81120156884
82221,49971.88220146854
82222,66092.95402818226
82223,61477.46008989026
82224,62411.258434963514
82225,256014.18054469768
82227,153410.5927699497
82229,151857.1451575677
82233,121135.9905669312
82242,-23728.68357426254
82243,67776.93868482858
82281,25783.06971187998
82282,25783.06971187998
82283,25783.06971187998
82284,25783.06971187998
82285,25783.06971187998
82286,22303.49354055507
82368,24070.78135170258
82737,73758.20837368071
82738,144605.274411398
82751,71451.80737603927
82752,26106.593531158687
82753,85220.42130746602
82754,75122.34301400138
82755,69776.72532723402
82756,69776.72532723402
82757,85220.42130746602
82758,75122.34301400138
82759,69776.72532723402
82760,75122.34301400138
82761,75122.34301400138
82762,26129.641554008762
82763,37331.882561561986
82764,37331.882561561986
82765,37331.882561561986
82767,26129.641554008762
82768,-179476.63672127982
82772,-179476.63672127982
82774,-179476.63672127982
82775,-179476.63672127982
82776,-179476.63672127982
82778,-179476.63672127982
82779,-179476.63672127982
82780,-179476.63672127982
82781,22303.497129957308
82907,26881.418230603515
82908,26881.418230603515
82909,26881.418230603515
82910,26881.418230603515
82911,26881.418230603515
82912,26881.418230603515
82913,26881.418230603515
82914,22303.49779497154
82915,355301.07224042754
82916,510795.5563668611
